ParticipantCode,SessionID,ConditionCode,ScenarioNumber,ScenarioName,QuestionNumber,ExchangeIndex,TtsSuccess,FailureReason,Timestamp
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,1,1,1,,2026-06-19 13:09:02
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,1,2,1,,2026-06-19 13:09:18
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,1,3,1,,2026-06-19 13:09:37
