ParticipantCode,SessionID,ConditionCode,ScenarioNumber,ScenarioName,QuestionNumber,TotalExchanges,TotalTurns,AvgHelpScore,AvgTaskEngagementScore,AnswerRequestCount,OffTopicCount,ModelLeakCount,OnTopicSeconds,OffTopicSeconds,SubstantiveQuestionCount,ChatUsedInQuestion,DominantUtilityLevel,EffectiveHelpLevel,Flags,Timestamp
P03,ID-20260619143117-4618,C,3,Condición C — Agente Virtual,1,1,2,67.5,15.0,0,1,0,0.00,30.00,0,1,Wasted,LowEngagement,off_topic=1|on_topic_sec=0.0|off_topic_sec=30.0|dominant_utility=wasted,2026-06-19 14:31:56
P03,ID-20260619143117-4618,C,3,Condición C — Agente Virtual,2,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 14:31:59
P03,ID-20260619143117-4618,C,3,Condición C — Agente Virtual,3,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 14:32:02
P03,ID-20260619143117-4618,C,3,Condición C — Agente Virtual,4,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 14:32:17
P03,ID-20260619143117-4618,C,3,Condición C — Agente Virtual,5,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 14:32:19
P03,ID-20260619143117-4618,C,3,Condición C — Agente Virtual,6,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 14:32:24
