ParticipantCode,AgeRange,Education,AssistantFrequency,AvatarExperience,SourceFile
P01,25–34 años,Universidad completa (grado / licenciatura),Algunas veces por semana,Algunas veces,Form0_Perfil.csv
P02,35–44 años,Posgrado (maestría / doctorado),Casi todos los días,Con frecuencia,Form0_Perfil.csv
