ParticipantCode,Module,Score_B,Score_C
P01,MECUE_I,5.5,4.833
P02,MECUE_I,4.833,6.167
P01,MECUE_III,3.917,4.417
P02,MECUE_III,4.75,4.917
P01,MECUE_IV,5.0,5.5
P02,MECUE_IV,4.0,5.0
P01,MECUE_V,0.0,2.0
P02,MECUE_V,0.0,1.0
