Condition,Metric,N,Mean,Median,StDev,Min,Max
A,accuracy_0_1,15,0.4889,0.5,0.2477,0.0,0.8333
B,accuracy_0_1,15,0.7889,0.8333,0.1331,0.5,1.0
C,accuracy_0_1,15,0.7556,0.6667,0.217,0.3333,1.0
