FolderName,ParticipantCode,SessionID,Items_A,Items_B,Items_C,TotalRealItems,Complete_A_B_C,HasConsent,IncludedInAnalysis,ProvisionalRows,TotalDataRows,SelectionNote,RelativePath
P01_ID-2026061700000000-1000,P01,ID-2026061700000000-1000,6,6,6,18,1,1,1,0,18,Unica carpeta para este participante,P01_ID-2026061700000000-1000
P02_ID-2026061700010000-1001,P02,ID-2026061700010000-1001,6,6,6,18,1,1,1,0,18,Unica carpeta para este participante,P02_ID-2026061700010000-1001
P03_ID-2026061700020000-1002,P03,ID-2026061700020000-1002,6,6,6,18,1,1,1,0,18,"Canónica entre 4 carpetas; omitidas: P03_ID-20260619023534-9678, P03_ID-20260619024438-5757, P03_ID-20260619025133-6084",P03_ID-2026061700020000-1002
P03_ID-20260619023534-9678,P03,ID-20260619023534-9678,0,0,0,0,0,1,0,1,1,Omitida (existe sesion mas completa del mismo participante),P03_ID-20260619023534-9678
P03_ID-20260619024438-5757,P03,ID-20260619024438-5757,0,0,0,0,0,1,0,1,1,Omitida (existe sesion mas completa del mismo participante),P03_ID-20260619024438-5757
P03_ID-20260619025133-6084,P03,ID-20260619025133-6084,0,0,0,0,0,1,0,1,1,Omitida (existe sesion mas completa del mismo participante),P03_ID-20260619025133-6084
P04_ID-2026061700030000-1003,P04,ID-2026061700030000-1003,6,6,6,18,1,1,1,0,18,Unica carpeta para este participante,P04_ID-2026061700030000-1003
P05_ID-2026061700040000-1004,P05,ID-2026061700040000-1004,6,6,6,18,1,1,1,0,18,Unica carpeta para este participante,P05_ID-2026061700040000-1004
