Condition,Metric,N,Mean,Median,StDev,Min,Max
A,calibration_gap,15,-0.1315,-0.0833,0.2543,-0.5556,0.3889
B,calibration_gap,15,-0.137,-0.1111,0.1326,-0.3333,0.1389
C,calibration_gap,15,0.0519,0.0,0.2338,-0.2778,0.4444
