Condition,ScenarioNumber,QuestionNumber,N,AccuracyPct
A,1,1,5,80.0
A,1,2,5,60.0
A,1,3,5,40.0
A,1,4,5,40.0
A,1,5,5,80.0
A,1,6,5,20.0
B,2,1,5,60.0
B,2,2,5,80.0
B,2,3,5,60.0
B,2,4,5,80.0
B,2,5,5,80.0
B,2,6,5,100.0
C,3,1,5,60.0
C,3,2,5,100.0
C,3,3,5,40.0
C,3,4,5,100.0
C,3,5,5,80.0
C,3,6,5,80.0
