Condition,ScenarioNumber,QuestionNumber,N,MeanTimeSeconds
A,1,1,5,59.58
A,1,2,5,71.14
A,1,3,5,50.52
A,1,4,5,74.08
A,1,5,5,67.56
A,1,6,5,71.26
B,2,1,5,39.72
B,2,2,5,56.86
B,2,3,5,45.5
B,2,4,5,52.0
B,2,5,5,75.64
B,2,6,5,57.92
C,3,1,5,65.62
C,3,2,5,41.16
C,3,3,5,57.44
C,3,4,5,63.46
C,3,5,5,46.08
C,3,6,5,43.9
