Condition,Metric,N,Mean,Median,StDev,Min,Max
A,accuracy_0_1,5,0.5333,0.5,0.1394,0.3333,0.6667
B,accuracy_0_1,5,0.7667,0.6667,0.1491,0.6667,1.0
C,accuracy_0_1,5,0.7667,0.6667,0.1491,0.6667,1.0
