Module,ModuleLabel,Mean_B,N_B,Mean_C,N_C
MECUE_I,Utilidad (Mód. I),5.167,2,5.5,2
MECUE_III,Emociones (Mód. III),4.333,2,4.667,2
MECUE_IV,Consecuencias (Mód. IV),4.5,2,5.25,2
MECUE_V,Evaluación global (Mód. V),0.0,2,1.5,2
